animal,block,family,sire,dam,trait,value
1,1,B1.S1xD1,259,274,h.length,179.73
1,1,B1.S1xD1,259,274,n.length,417.6633333
2,1,B1.S1xD1,259,274,h.length,179.09
2,1,B1.S1xD1,259,274,n.length,403.2866667
4,1,B1.S1xD1,259,274,h.length,195.2966667
4,1,B1.S1xD1,259,274,n.length,403.8866667
6,1,B1.S1xD2,259,275,h.length,188.6966667
6,1,B1.S1xD2,259,275,n.length,354.1666667
7,1,B1.S1xD2,259,275,h.length,182.16
7,1,B1.S1xD2,259,275,n.length,365.66
8,1,B1.S1xD2,259,275,h.length,176.5233333
8,1,B1.S1xD2,259,275,n.length,401.4266667
9,1,B1.S1xD2,259,275,h.length,173.8666667
9,1,B1.S1xD2,259,275,n.length,404.12
11,1,B1.S2xD1,260,274,h.length,180.27
11,1,B1.S2xD1,260,274,n.length,413.4666667
12,1,B1.S2xD1,260,274,h.length,189.9933333
12,1,B1.S2xD1,260,274,n.length,401.32
13,1,B1.S2xD1,260,274,h.length,195.2166667
13,1,B1.S2xD1,260,274,n.length,385.2866667
14,1,B1.S2xD2,260,275,h.length,188.85
14,1,B1.S2xD2,260,275,n.length,425.7566667
15,1,B1.S2xD2,260,275,h.length,177.5866667
15,1,B1.S2xD2,260,275,n.length,357.3866667
16,1,B1.S2xD2,260,275,h.length,204.86
16,1,B1.S2xD2,260,275,n.length,383.74
17,1,B1.S2xD2,260,275,h.length,175.0366667
17,1,B1.S2xD2,260,275,n.length,371.0733333
492,10,B10.S1xD1,681,686,h.length,184.86
492,10,B10.S1xD1,681,686,n.length,420.68
493,10,B10.S1xD1,681,686,h.length,207.19
493,10,B10.S1xD1,681,686,n.length,444.3
494,10,B10.S1xD1,681,686,h.length,212.5
494,10,B10.S1xD1,681,686,n.length,458.79
495,10,B10.S1xD1,681,686,h.length,211.03
495,10,B10.S1xD1,681,686,n.length,449.14
496,10,B10.S1xD1,681,686,h.length,187.93
496,10,B10.S1xD1,681,686,n.length,435.78
497,10,B10.S1xD1,681,686,h.length,210.77
497,10,B10.S1xD1,681,686,n.length,455.78
498,10,B10.S1xD1,681,686,h.length,173.32
498,10,B10.S1xD1,681,686,n.length,404.71
499,10,B10.S1xD1,681,686,h.length,163.25
499,10,B10.S1xD1,681,686,n.length,442.21
500,10,B10.S1xD1,681,686,h.length,169.34
500,10,B10.S1xD1,681,686,n.length,355.75
501,10,B10.S1xD1,681,686,h.length,204.16
501,10,B10.S1xD1,681,686,n.length,443.05
502,10,B10.S1xD1,681,686,h.length,208.63
502,10,B10.S1xD1,681,686,n.length,381.92
503,10,B10.S1xD1,681,686,h.length,199.33
503,10,B10.S1xD1,681,686,n.length,443.28
2630,10,B10.S1xD1,681,686,hatching,1
2631,10,B10.S1xD1,681,686,hatching,1
2632,10,B10.S1xD1,681,686,hatching,1
2633,10,B10.S1xD1,681,686,hatching,1
2634,10,B10.S1xD1,681,686,hatching,1
2635,10,B10.S1xD1,681,686,hatching,1
2636,10,B10.S1xD1,681,686,hatching,1
2637,10,B10.S1xD1,681,686,hatching,1
2638,10,B10.S1xD1,681,686,hatching,1
2639,10,B10.S1xD1,681,686,hatching,1
2640,10,B10.S1xD1,681,686,hatching,1
2641,10,B10.S1xD1,681,686,hatching,1
2642,10,B10.S1xD1,681,686,hatching,0
2643,10,B10.S1xD1,681,686,hatching,0
2644,10,B10.S1xD1,681,686,hatching,0
2645,10,B10.S1xD1,681,686,hatching,0
2646,10,B10.S1xD1,681,686,hatching,0
2647,10,B10.S1xD1,681,686,hatching,0
2648,10,B10.S1xD1,681,686,hatching,0
2649,10,B10.S1xD1,681,686,hatching,0
2650,10,B10.S1xD1,681,686,hatching,1
2651,10,B10.S1xD1,681,686,hatching,1
2652,10,B10.S1xD1,681,686,hatching,1
2653,10,B10.S1xD1,681,686,hatching,1
2654,10,B10.S1xD1,681,686,hatching,1
2655,10,B10.S1xD1,681,686,hatching,1
2656,10,B10.S1xD1,681,686,hatching,1
2657,10,B10.S1xD1,681,686,hatching,1
2658,10,B10.S1xD1,681,686,hatching,1
2659,10,B10.S1xD1,681,686,hatching,1
2660,10,B10.S1xD1,681,686,hatching,1
2661,10,B10.S1xD1,681,686,hatching,1
2662,10,B10.S1xD1,681,686,hatching,1
2663,10,B10.S1xD1,681,686,hatching,1
2664,10,B10.S1xD1,681,686,hatching,0
2665,10,B10.S1xD1,681,686,hatching,0
2666,10,B10.S1xD1,681,686,hatching,0
2667,10,B10.S1xD1,681,686,hatching,0
2668,10,B10.S1xD1,681,686,hatching,0
2669,10,B10.S1xD1,681,686,hatching,0
2670,10,B10.S1xD1,681,686,hatching,0
2671,10,B10.S1xD1,681,686,hatching,0
7274,10,B10.S1xD1,681,686,settling,1
7275,10,B10.S1xD1,681,686,settling,1
7276,10,B10.S1xD1,681,686,settling,1
7277,10,B10.S1xD1,681,686,settling,1
