"animal","block","family","sire","dam","trait","value","dish"
1,1,"B1.S1xD1",259,274,"h.length",179.73,NA
1,1,"B1.S1xD1",259,274,"n.length",417.6633333,NA
2,1,"B1.S1xD1",259,274,"h.length",179.09,NA
2,1,"B1.S1xD1",259,274,"n.length",403.2866667,NA
4,1,"B1.S1xD1",259,274,"h.length",195.2966667,NA
4,1,"B1.S1xD1",259,274,"n.length",403.8866667,NA
6,1,"B1.S1xD2",259,275,"h.length",188.6966667,NA
6,1,"B1.S1xD2",259,275,"n.length",354.1666667,NA
7,1,"B1.S1xD2",259,275,"h.length",182.16,NA
7,1,"B1.S1xD2",259,275,"n.length",365.66,NA
8,1,"B1.S1xD2",259,275,"h.length",176.5233333,NA
8,1,"B1.S1xD2",259,275,"n.length",401.4266667,NA
9,1,"B1.S1xD2",259,275,"h.length",173.8666667,NA
9,1,"B1.S1xD2",259,275,"n.length",404.12,NA
11,1,"B1.S2xD1",260,274,"h.length",180.27,NA
11,1,"B1.S2xD1",260,274,"n.length",413.4666667,NA
12,1,"B1.S2xD1",260,274,"h.length",189.9933333,NA
12,1,"B1.S2xD1",260,274,"n.length",401.32,NA
13,1,"B1.S2xD1",260,274,"h.length",195.2166667,NA
13,1,"B1.S2xD1",260,274,"n.length",385.2866667,NA
14,1,"B1.S2xD2",260,275,"h.length",188.85,NA
14,1,"B1.S2xD2",260,275,"n.length",425.7566667,NA
15,1,"B1.S2xD2",260,275,"h.length",177.5866667,NA
15,1,"B1.S2xD2",260,275,"n.length",357.3866667,NA
16,1,"B1.S2xD2",260,275,"h.length",204.86,NA
16,1,"B1.S2xD2",260,275,"n.length",383.74,NA
17,1,"B1.S2xD2",260,275,"h.length",175.0366667,NA
17,1,"B1.S2xD2",260,275,"n.length",371.0733333,NA
492,10,"B10.S1xD1",681,686,"h.length",184.86,NA
492,10,"B10.S1xD1",681,686,"n.length",420.68,NA
493,10,"B10.S1xD1",681,686,"h.length",207.19,NA
493,10,"B10.S1xD1",681,686,"n.length",444.3,NA
494,10,"B10.S1xD1",681,686,"h.length",212.5,NA
494,10,"B10.S1xD1",681,686,"n.length",458.79,NA
495,10,"B10.S1xD1",681,686,"h.length",211.03,NA
495,10,"B10.S1xD1",681,686,"n.length",449.14,NA
496,10,"B10.S1xD1",681,686,"h.length",187.93,NA
496,10,"B10.S1xD1",681,686,"n.length",435.78,NA
497,10,"B10.S1xD1",681,686,"h.length",210.77,NA
497,10,"B10.S1xD1",681,686,"n.length",455.78,NA
498,10,"B10.S1xD1",681,686,"h.length",173.32,NA
498,10,"B10.S1xD1",681,686,"n.length",404.71,NA
499,10,"B10.S1xD1",681,686,"h.length",163.25,NA
499,10,"B10.S1xD1",681,686,"n.length",442.21,NA
500,10,"B10.S1xD1",681,686,"h.length",169.34,NA
500,10,"B10.S1xD1",681,686,"n.length",355.75,NA
501,10,"B10.S1xD1",681,686,"h.length",204.16,NA
501,10,"B10.S1xD1",681,686,"n.length",443.05,NA
502,10,"B10.S1xD1",681,686,"h.length",208.63,NA
502,10,"B10.S1xD1",681,686,"n.length",381.92,NA
503,10,"B10.S1xD1",681,686,"h.length",199.33,NA
503,10,"B10.S1xD1",681,686,"n.length",443.28,NA
2630,10,"B10.S1xD1",681,686,"hatching",1,192
2631,10,"B10.S1xD1",681,686,"hatching",1,192
2632,10,"B10.S1xD1",681,686,"hatching",1,192
2633,10,"B10.S1xD1",681,686,"hatching",1,192
2634,10,"B10.S1xD1",681,686,"hatching",1,192
2635,10,"B10.S1xD1",681,686,"hatching",1,192
2636,10,"B10.S1xD1",681,686,"hatching",1,192
2637,10,"B10.S1xD1",681,686,"hatching",1,192
2638,10,"B10.S1xD1",681,686,"hatching",1,192
2639,10,"B10.S1xD1",681,686,"hatching",1,192
2640,10,"B10.S1xD1",681,686,"hatching",1,192
2641,10,"B10.S1xD1",681,686,"hatching",1,192
2642,10,"B10.S1xD1",681,686,"hatching",0,192
2643,10,"B10.S1xD1",681,686,"hatching",0,192
2644,10,"B10.S1xD1",681,686,"hatching",0,192
2645,10,"B10.S1xD1",681,686,"hatching",0,192
2646,10,"B10.S1xD1",681,686,"hatching",0,192
2647,10,"B10.S1xD1",681,686,"hatching",0,192
2648,10,"B10.S1xD1",681,686,"hatching",0,192
2649,10,"B10.S1xD1",681,686,"hatching",0,192
2650,10,"B10.S1xD1",681,686,"hatching",1,193
2651,10,"B10.S1xD1",681,686,"hatching",1,193
2652,10,"B10.S1xD1",681,686,"hatching",1,193
2653,10,"B10.S1xD1",681,686,"hatching",1,193
2654,10,"B10.S1xD1",681,686,"hatching",1,193
2655,10,"B10.S1xD1",681,686,"hatching",1,193
2656,10,"B10.S1xD1",681,686,"hatching",1,193
2657,10,"B10.S1xD1",681,686,"hatching",1,193
2658,10,"B10.S1xD1",681,686,"hatching",1,193
2659,10,"B10.S1xD1",681,686,"hatching",1,193
2660,10,"B10.S1xD1",681,686,"hatching",1,193
2661,10,"B10.S1xD1",681,686,"hatching",1,193
2662,10,"B10.S1xD1",681,686,"hatching",1,193
2663,10,"B10.S1xD1",681,686,"hatching",1,193
2664,10,"B10.S1xD1",681,686,"hatching",0,193
2665,10,"B10.S1xD1",681,686,"hatching",0,193
2666,10,"B10.S1xD1",681,686,"hatching",0,193
2667,10,"B10.S1xD1",681,686,"hatching",0,193
2668,10,"B10.S1xD1",681,686,"hatching",0,193
2669,10,"B10.S1xD1",681,686,"hatching",0,193
2670,10,"B10.S1xD1",681,686,"hatching",0,193
2671,10,"B10.S1xD1",681,686,"hatching",0,193
7274,10,"B10.S1xD1",681,686,"settling",1,194
7275,10,"B10.S1xD1",681,686,"settling",1,194
7276,10,"B10.S1xD1",681,686,"settling",1,194
7277,10,"B10.S1xD1",681,686,"settling",1,194
7278,10,"B10.S1xD1",681,686,"settling",1,194
7279,10,"B10.S1xD1",681,686,"settling",1,194
7280,10,"B10.S1xD1",681,686,"settling",1,194
7281,10,"B10.S1xD1",681,686,"settling",1,194
7282,10,"B10.S1xD1",681,686,"settling",0,194
7283,10,"B10.S1xD1",681,686,"settling",0,194
7284,10,"B10.S1xD1",681,686,"settling",0,194
7285,10,"B10.S1xD1",681,686,"settling",0,194
7286,10,"B10.S1xD1",681,686,"settling",0,194
7287,10,"B10.S1xD1",681,686,"settling",0,194
7288,10,"B10.S1xD1",681,686,"settling",0,194
7289,10,"B10.S1xD1",681,686,"settling",0,194
7290,10,"B10.S1xD1",681,686,"settling",0,194
7291,10,"B10.S1xD1",681,686,"settling",1,195
7292,10,"B10.S1xD1",681,686,"settling",1,195
7293,10,"B10.S1xD1",681,686,"settling",1,195
7294,10,"B10.S1xD1",681,686,"settling",1,195
7295,10,"B10.S1xD1",681,686,"settling",1,195
7296,10,"B10.S1xD1",681,686,"settling",1,195
7297,10,"B10.S1xD1",681,686,"settling",1,195
7298,10,"B10.S1xD1",681,686,"settling",1,195
7299,10,"B10.S1xD1",681,686,"settling",1,195
7300,10,"B10.S1xD1",681,686,"settling",1,195
7301,10,"B10.S1xD1",681,686,"settling",1,195
7302,10,"B10.S1xD1",681,686,"settling",1,195
7303,10,"B10.S1xD1",681,686,"settling",1,195
7304,10,"B10.S1xD1",681,686,"settling",1,195
7305,10,"B10.S1xD1",681,686,"settling",0,195
7306,10,"B10.S1xD1",681,686,"settling",0,195
7307,10,"B10.S1xD1",681,686,"settling",0,195
7308,10,"B10.S1xD1",681,686,"settling",0,195
7309,10,"B10.S1xD1",681,686,"settling",0,195
7310,10,"B10.S1xD1",681,686,"settling",1,196
7311,10,"B10.S1xD1",681,686,"settling",1,196
7312,10,"B10.S1xD1",681,686,"settling",1,196
7313,10,"B10.S1xD1",681,686,"settling",1,196
7314,10,"B10.S1xD1",681,686,"settling",1,196
7315,10,"B10.S1xD1",681,686,"settling",1,196
7316,10,"B10.S1xD1",681,686,"settling",1,196
7317,10,"B10.S1xD1",681,686,"settling",1,196
7318,10,"B10.S1xD1",681,686,"settling",1,196
7319,10,"B10.S1xD1",681,686,"settling",1,196
7320,10,"B10.S1xD1",681,686,"settling",1,196
7321,10,"B10.S1xD1",681,686,"settling",1,196
7322,10,"B10.S1xD1",681,686,"settling",0,196
7323,10,"B10.S1xD1",681,686,"settling",0,196
7324,10,"B10.S1xD1",681,686,"settling",0,196
7325,10,"B10.S1xD1",681,686,"settling",0,196
7326,10,"B10.S1xD1",681,686,"settling",0,196
504,10,"B10.S1xD2",681,687,"h.length",224.07,NA
504,10,"B10.S1xD2",681,687,"n.length",442.25,NA
505,10,"B10.S1xD2",681,687,"h.length",221.74,NA
505,10,"B10.S1xD2",681,687,"n.length",458.99,NA
506,10,"B10.S1xD2",681,687,"h.length",222.6,NA
506,10,"B10.S1xD2",681,687,"n.length",453.72,NA
507,10,"B10.S1xD2",681,687,"h.length",223.47,NA
507,10,"B10.S1xD2",681,687,"n.length",452.76,NA
508,10,"B10.S1xD2",681,687,"h.length",216.36,NA
508,10,"B10.S1xD2",681,687,"n.length",454.36,NA
509,10,"B10.S1xD2",681,687,"h.length",216.95,NA
509,10,"B10.S1xD2",681,687,"n.length",454.43,NA
510,10,"B10.S1xD2",681,687,"h.length",221.96,NA
510,10,"B10.S1xD2",681,687,"n.length",458.8,NA
511,10,"B10.S1xD2",681,687,"h.length",217.47,NA
511,10,"B10.S1xD2",681,687,"n.length",445.47,NA
512,10,"B10.S1xD2",681,687,"h.length",216.02,NA
512,10,"B10.S1xD2",681,687,"n.length",441.4,NA
513,10,"B10.S1xD2",681,687,"h.length",202.37,NA
513,10,"B10.S1xD2",681,687,"n.length",427.79,NA
514,10,"B10.S1xD2",681,687,"h.length",215.77,NA
514,10,"B10.S1xD2",681,687,"n.length",450.76,NA
515,10,"B10.S1xD2",681,687,"h.length",219.32,NA
515,10,"B10.S1xD2",681,687,"n.length",447.8,NA
2672,10,"B10.S1xD2",681,687,"hatching",1,197
2673,10,"B10.S1xD2",681,687,"hatching",1,197
2674,10,"B10.S1xD2",681,687,"hatching",1,197
2675,10,"B10.S1xD2",681,687,"hatching",1,197
2676,10,"B10.S1xD2",681,687,"hatching",1,197
2677,10,"B10.S1xD2",681,687,"hatching",1,197
2678,10,"B10.S1xD2",681,687,"hatching",1,197
2679,10,"B10.S1xD2",681,687,"hatching",1,197
2680,10,"B10.S1xD2",681,687,"hatching",1,197
2681,10,"B10.S1xD2",681,687,"hatching",1,197
2682,10,"B10.S1xD2",681,687,"hatching",1,197
2683,10,"B10.S1xD2",681,687,"hatching",1,197
2684,10,"B10.S1xD2",681,687,"hatching",1,197
2685,10,"B10.S1xD2",681,687,"hatching",1,197
2686,10,"B10.S1xD2",681,687,"hatching",1,197
2687,10,"B10.S1xD2",681,687,"hatching",1,197
2688,10,"B10.S1xD2",681,687,"hatching",1,197
2689,10,"B10.S1xD2",681,687,"hatching",1,197
2690,10,"B10.S1xD2",681,687,"hatching",0,197
2691,10,"B10.S1xD2",681,687,"hatching",1,198
2692,10,"B10.S1xD2",681,687,"hatching",1,198
2693,10,"B10.S1xD2",681,687,"hatching",1,198
2694,10,"B10.S1xD2",681,687,"hatching",1,198
2695,10,"B10.S1xD2",681,687,"hatching",1,198
2696,10,"B10.S1xD2",681,687,"hatching",1,198
2697,10,"B10.S1xD2",681,687,"hatching",1,198
2698,10,"B10.S1xD2",681,687,"hatching",1,198
2699,10,"B10.S1xD2",681,687,"hatching",1,198
2700,10,"B10.S1xD2",681,687,"hatching",1,198
2701,10,"B10.S1xD2",681,687,"hatching",1,198
2702,10,"B10.S1xD2",681,687,"hatching",1,198
2703,10,"B10.S1xD2",681,687,"hatching",1,198
2704,10,"B10.S1xD2",681,687,"hatching",1,198
2705,10,"B10.S1xD2",681,687,"hatching",1,198
2706,10,"B10.S1xD2",681,687,"hatching",1,198
2707,10,"B10.S1xD2",681,687,"hatching",1,198
2708,10,"B10.S1xD2",681,687,"hatching",1,198
2709,10,"B10.S1xD2",681,687,"hatching",1,198
2710,10,"B10.S1xD2",681,687,"hatching",0,198
7327,10,"B10.S1xD2",681,687,"settling",1,199
7328,10,"B10.S1xD2",681,687,"settling",1,199
7329,10,"B10.S1xD2",681,687,"settling",1,199
7330,10,"B10.S1xD2",681,687,"settling",1,199
7331,10,"B10.S1xD2",681,687,"settling",1,199
7332,10,"B10.S1xD2",681,687,"settling",1,199
7333,10,"B10.S1xD2",681,687,"settling",0,199
7334,10,"B10.S1xD2",681,687,"settling",0,199
7335,10,"B10.S1xD2",681,687,"settling",0,199
7336,10,"B10.S1xD2",681,687,"settling",0,199
7337,10,"B10.S1xD2",681,687,"settling",0,199
7338,10,"B10.S1xD2",681,687,"settling",0,199
7339,10,"B10.S1xD2",681,687,"settling",0,199
7340,10,"B10.S1xD2",681,687,"settling",0,199
7341,10,"B10.S1xD2",681,687,"settling",0,199
7342,10,"B10.S1xD2",681,687,"settling",1,200
7343,10,"B10.S1xD2",681,687,"settling",1,200
7344,10,"B10.S1xD2",681,687,"settling",1,200
7345,10,"B10.S1xD2",681,687,"settling",1,200
7346,10,"B10.S1xD2",681,687,"settling",1,200
7347,10,"B10.S1xD2",681,687,"settling",1,200
7348,10,"B10.S1xD2",681,687,"settling",1,200
7349,10,"B10.S1xD2",681,687,"settling",1,200
7350,10,"B10.S1xD2",681,687,"settling",1,200
7351,10,"B10.S1xD2",681,687,"settling",1,200
7352,10,"B10.S1xD2",681,687,"settling",0,200
7353,10,"B10.S1xD2",681,687,"settling",0,200
7354,10,"B10.S1xD2",681,687,"settling",0,200
7355,10,"B10.S1xD2",681,687,"settling",0,200
7356,10,"B10.S1xD2",681,687,"settling",0,200
7357,10,"B10.S1xD2",681,687,"settling",0,200
7358,10,"B10.S1xD2",681,687,"settling",1,201
7359,10,"B10.S1xD2",681,687,"settling",1,201
7360,10,"B10.S1xD2",681,687,"settling",1,201
7361,10,"B10.S1xD2",681,687,"settling",1,201
7362,10,"B10.S1xD2",681,687,"settling",1,201
7363,10,"B10.S1xD2",681,687,"settling",1,201
7364,10,"B10.S1xD2",681,687,"settling",1,201
7365,10,"B10.S1xD2",681,687,"settling",1,201
7366,10,"B10.S1xD2",681,687,"settling",1,201
7367,10,"B10.S1xD2",681,687,"settling",0,201
7368,10,"B10.S1xD2",681,687,"settling",0,201
7369,10,"B10.S1xD2",681,687,"settling",0,201
7370,10,"B10.S1xD2",681,687,"settling",0,201
516,10,"B10.S1xD3",681,688,"h.length",204.13,NA
516,10,"B10.S1xD3",681,688,"n.length",457.65,NA
517,10,"B10.S1xD3",681,688,"h.length",213.21,NA
517,10,"B10.S1xD3",681,688,"n.length",440.25,NA
518,10,"B10.S1xD3",681,688,"h.length",224.88,NA
518,10,"B10.S1xD3",681,688,"n.length",411.24,NA
519,10,"B10.S1xD3",681,688,"h.length",200.68,NA
519,10,"B10.S1xD3",681,688,"n.length",450.66,NA
520,10,"B10.S1xD3",681,688,"h.length",209.17,NA
520,10,"B10.S1xD3",681,688,"n.length",441,NA
521,10,"B10.S1xD3",681,688,"h.length",205.54,NA
521,10,"B10.S1xD3",681,688,"n.length",465.84,NA
522,10,"B10.S1xD3",681,688,"h.length",184.71,NA
522,10,"B10.S1xD3",681,688,"n.length",409.59,NA
523,10,"B10.S1xD3",681,688,"h.length",190.31,NA
523,10,"B10.S1xD3",681,688,"n.length",352.4,NA
524,10,"B10.S1xD3",681,688,"h.length",205.43,NA
524,10,"B10.S1xD3",681,688,"n.length",460.35,NA
525,10,"B10.S1xD3",681,688,"h.length",190.46,NA
525,10,"B10.S1xD3",681,688,"n.length",444.4,NA
526,10,"B10.S1xD3",681,688,"h.length",185.88,NA
526,10,"B10.S1xD3",681,688,"n.length",449.4,NA
527,10,"B10.S1xD3",681,688,"h.length",198.9,NA
527,10,"B10.S1xD3",681,688,"n.length",437.35,NA
2711,10,"B10.S1xD3",681,688,"hatching",1,202
2712,10,"B10.S1xD3",681,688,"hatching",1,202
2713,10,"B10.S1xD3",681,688,"hatching",1,202
